Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Aaron,Brooks",Chi,31,69,16.1,64,7.1,1.5,0.43,0.14
"Aaron,Gordon",Orl,20,78,23.9,193,9.2,6.5,0.76,0.71
"Adreian,Payne",Min,24,52,9.3,26,2.5,2.2,0.31,0.21
"Al,Horford",Atl,29,82,32.1,129,15.2,7.3,0.83,1.49
"Al,Jefferson",Cha,31,47,23.3,111,12,6.4,0.64,0.87
"Alan,Anderson",Was,33,13,14.8,15,5,2.1,0.31,0.08
"Alan,Williams",Pho,23,10,6.8,14,2.9,3.8,0.4,0.5
"Alec,Burks",Uta,24,31,25.7,141,13.3,3.5,0.58,0.13
"Alex,Len",Pho,22,78,23.3,239,9,7.6,0.49,0.79
"Alex,Stepheson",Mem,28,4,15.2,10,5,6.5,0.25,0.75
"Alexis,Ajinca",Nor,27,59,14.6,62,6,4.6,0.32,0.61
"Al-Farouq,Aminu",Por,25,82,28.5,156,10.2,6.1,0.88,0.63
"Allen,Crabbe",Por,23,81,26,113,10.3,2.7,0.78,0.2
"Alonzo,Gee",Nor,28,73,22.4,66,4.4,3.4,0.86,0.18
"Amar'e,Stoudemire",Mia,33,52,14.7,67,5.8,4.3,0.37,0.79
"Amir,Johnson",Bos,28,79,22.8,121,7.3,6.4,0.66,1.05
"Anderson,Varejao",Cle,33,31,10,21,2.6,2.9,0.35,0.16
"Anderson,Varejao",Gol,33,22,8.4,29,2.6,2.3,0.23,0.23
"Andre,Drummond",Det,22,81,32.9,586,16.2,14.8,1.47,1.38
"Andre,Iguodala",Gol,32,65,26.6,83,7,4,1.12,0.29
"Andre,Miller",Min,39,26,10.8,19,3.4,0.9,0.35,0
"Andre,Miller",San,39,13,13.9,13,4.3,2.1,0.54,0
"Andre,Roberson",Okc,24,70,22.2,54,4.8,3.6,0.76,0.6
"Andrea,Bargnani",Bro,30,46,13.8,57,6.6,2.1,0.09,0.2
"Andrew,Bogut",Gol,31,70,20.7,50,5.4,7,0.46,1.63
"Andrew,Goudelock",Hou,27,8,6.2,4,2.8,0.3,0.75,0.25
"Andrew,Nicholson",Orl,26,56,14.7,65,6.9,3.6,0.18,0.39
"Andrew,Wiggins",Min,20,81,35.1,565,20.7,3.6,0.96,0.57
"Anthony,Brown",Lal,23,29,20.6,20,4,2.4,0.48,0.17
"Anthony,Davis",Nor,22,61,35.5,430,24.3,10.3,1.28,2.05
"Anthony,Morrow",Okc,30,68,13.6,39,5.6,0.9,0.32,0.07
"Anthony,Tolliver",Det,30,72,18.6,47,5.3,3.2,0.36,0.22
"Archie,Goodwin",Pho,21,57,19.5,193,8.9,2.5,0.47,0.23
"Aron,Baynes",Det,29,81,15.2,165,6.3,4.7,0.26,0.64
"Arron,Afflalo",Nyk,30,71,33.4,131,12.8,3.7,0.35,0.14
"Austin,Rivers",Lac,23,67,21.8,116,8.9,1.9,0.72,0.15
"Avery,Bradley",Bos,25,76,33.4,123,15.2,2.9,1.54,0.25
"Axel,Toupane",Den,23,21,14.5,17,3.6,1.5,0.33,0.29
"Ben,McLemore",Sac,22,68,21.2,103,7.8,2.2,0.76,0.15
"Beno,Udrih",Mem,33,8,15.1,3,5.9,1.1,0.38,0.13
"Beno,Udrih",Mia,33,36,16.3,17,4.4,1.8,0.31,0
"Bismack,Biyombo",Tor,23,82,22,226,5.5,8,0.23,1.62
"Blake,Griffin",Lac,26,35,33.4,194,21.4,8.4,0.8,0.49
"Boban,Marjanovic",San,27,54,9.4,114,5.5,3.6,0.22,0.43
"Bobby,Portis",Chi,20,62,17.8,66,7,5.4,0.4,0.35
"Bojan,Bogdanovic",Bro,26,79,26.8,132,11.2,3.2,0.37,0.06
"Boris,Diaw",San,33,76,18.2,76,6.4,3.1,0.34,0.28
"Bradley,Beal",Was,22,55,31.1,176,17.4,3.4,0.98,0.2
"Brandan,Wright",Mem,28,12,17.7,24,6.9,3.6,0.42,1.25
"Brandon,Bass",Lal,30,66,20.3,148,7.2,4.3,0.5,0.83
"Brandon,Jennings",Det,26,23,18.1,38,6.8,2,0.48,0.09
"Brandon,Jennings",Orl,26,25,18.1,40,7,2,0.72,0.2
"Brandon,Knight",Pho,24,52,36,183,19.6,3.9,1.17,0.38
"Brandon,Rush",Gol,30,72,14.7,28,4.2,2.5,0.28,0.32
"Brian,Roberts",Cha,30,30,11.1,37,4.8,1,0.23,0.03
"Brian,Roberts",Por,30,21,6.5,10,2.9,0.6,0.14,0.05
"Briante,Weber",Mem,23,6,27.7,4,4.8,4,1.5,0.5
"Brook,Lopez",Bro,27,73,33.7,403,20.6,7.8,0.79,1.7
"Bruno,Caboclo",Tor,20,6,7.1,0,0.5,0.3,0.33,0.17
"Bryce,Cotton",Pho,23,3,10.9,0,1.3,0,1,0
"Bryce,Dejean-Jones",Nor,23,14,19.9,21,5.6,3.4,0.71,0.14
"Cameron,Bairstow",Chi,25,18,5.7,8,1.9,1.6,0.11,0.17
"Cameron,Payne",Okc,21,57,12.2,24,5,1.5,0.63,0.11
"Carl,Landry",Phi,32,36,15.8,91,9.8,4.1,0.33,0.25
"Carmelo,Anthony",Nyk,31,72,35.1,403,21.8,7.7,0.86,0.53
"Caron,Butler",Sac,35,17,10.3,12,3.7,1.3,0.53,0.06
"Chandler,Parsons",Dal,27,61,29.5,136,13.7,4.7,0.75,0.34
"Channing,Frye",Orl,32,44,17.1,21,5.2,3.2,0.48,0.45
"Channing,Frye",Cle,32,26,17.1,14,7.5,3.6,0.31,0.31
"Charles,Hayes",Hou,32,2,11.9,2,2,4,0,0
"Charlie,Villanueva",Dal,31,62,10.7,24,5.1,2.5,0.29,0.24
"Chase,Budinger",Ind,27,49,14.9,48,4.4,2.5,0.59,0.18
"Chase,Budinger",Pho,27,17,11.8,8,3.2,1.7,0.18,0.06
"Chris,Andersen",Mia,37,7,5.2,4,1.9,1.3,0.14,0.43
"Chris,Andersen",Mem,37,20,18.3,32,4.6,4.5,0.7,0.5
"Chris,Bosh",Mia,31,53,33.5,268,19.1,7.4,0.68,0.64
"Chris,Copeland",Mil,31,24,6.5,7,2.1,0.4,0.08,0
"Chris,Johnson",Uta,25,70,12.2,42,2.9,1.9,0.46,0.29
"Chris,Kaman",Por,33,16,7,3,2.8,1.5,0.06,0.06
"Chris,McCullough",Bro,20,24,15.1,23,4.7,2.8,1.17,0.5
"Chris,Paul",Lac,30,74,32.7,328,19.5,4.2,2.04,0.18
"Christian,Wood",Phi,20,17,8.5,21,3.6,2.2,0.29,0.41
"CJ,McCollum",Por,24,80,34.7,226,20.8,3.2,1.21,0.3
"CJ,Miles",Ind,28,64,22.9,124,11.8,2.7,0.83,0.45
"CJ,Watson",Orl,31,33,19.9,39,4.3,2,0.58,0.15
"CJ,Wilcox",Lac,25,23,7.3,12,3,0.5,0.43,0.09
"Cleanthony,Early",Nyk,24,17,9,4,1.8,1.5,0.12,0.18
"Clint,Capela",Hou,21,77,19.1,211,7,6.4,0.77,1.19
"Cody,Zeller",Cha,23,73,24.3,232,8.7,6.2,0.78,0.86
"Cole,Aldrich",Lac,27,60,13.3,84,5.5,4.8,0.78,1.13
"Corey,Brewer",Hou,29,82,20.4,140,7.2,2.4,1.02,0.23
"Cory,Jefferson",Pho,25,8,6.3,6,2.8,2,0,0.13
"Cory,Joseph",Tor,24,80,25.6,174,8.5,2.6,0.79,0.25
"Courtney,Lee",Mem,30,51,29.2,92,10,2.3,1.04,0.31
"Courtney,Lee",Cha,30,28,30.2,26,8.9,3.1,1.18,0.43
"Cristiano,Felicio",Chi,23,31,10.3,35,3.4,3.3,0.19,0.42
"D.J.,Augustin",Okc,28,34,15.3,34,4.2,1.3,0.38,0.06
"D.J.,Augustin",Den,28,28,23.5,94,11.6,1.9,0.89,0.07
"Damian,Lillard",Por,25,75,35.7,464,25.1,4,0.87,0.37
"Damien,Inglis",Mil,20,20,7.8,8,1.8,1.6,0.3,0.15
"Damjan,Rudez",Min,29,33,8.4,8,2.3,0.6,0.09,0.03
"D'Angelo,Russell",Lal,19,80,28.2,190,13.2,3.4,1.16,0.16
"Danilo,Gallinari",Den,27,53,34.7,432,19.5,5.3,0.79,0.36
"Danny,Green",San,28,79,26.1,46,7.2,3.8,1,0.81
"Dante,Cunningham",Nor,28,80,24.6,82,6.1,3,0.53,0.41
"Darrell,Arthur",Den,27,70,21.7,53,7.5,4.2,0.76,0.69
"Darren,Collison",Sac,28,74,30,226,14,2.3,1.03,0.05
"Darrun,Hilliard",Det,22,38,10.1,40,4,1.2,0.24,0.03
